,week,tm_name,opp_name,tm_location,tm_score,opp_score
161,11,Cowboys,Vikings,A,40,3
162,11,Chiefs,Chargers,A,30,27
163,11,49ers,Cardinals,A,38,10
164,12,Bills,Lions,A,28,25
165,12,Cowboys,Giants,H,28,20
166,12,Vikings,Patriots,H,33,26
167,12,Bengals,Titans,A,20,16
168,12,Browns,Buccaneers,H,23,17
169,12,Dolphins,Texans,H,30,15
170,12,Jaguars,Ravens,H,28,27
171,12,Football Team,Falcons,H,19,13
172,12,Panthers,Broncos,H,23,10
173,12,Jets,Bears,H,31,10
174,12,Raiders,Seahawks,A,40,34
175,12,Chargers,Cardinals,A,25,24
176,12,Chiefs,Rams,H,26,10
177,12,49ers,Saints,H,13,0
178,12,Eagles,Packers,H,40,33
179,12,Steelers,Colts,A,24,17
180,13,Bills,Patriots,A,24,10
181,13,Browns,Texans,A,27,14
182,13,Ravens,Broncos,H,10,9
183,13,Lions,Jaguars,H,40,14
184,13,Vikings,Jets,H,27,22
185,13,Football Team,Giants,A,20,20
186,13,Eagles,Titans,H,35,10
187,13,Steelers,Falcons,A,19,16
188,13,Packers,Bears,A,28,19
189,13,49ers,Dolphins,H,33,17
190,13,Seahawks,Rams,A,27,23
191,13,Bengals,Chiefs,H,27,24
192,13,Raiders,Chargers,H,27,20
193,13,Cowboys,Colts,H,54,19
194,13,Buccaneers,Saints,H,17,16
195,14,Rams,Raiders,H,17,16
196,14,Bills,Jets,H,20,12
197,14,Bengals,Browns,H,23,10
198,14,Cowboys,Texans,H,27,23
199,14,Lions,Vikings,H,34,23
200,14,Jaguars,Titans,A,36,22
201,14,Eagles,Giants,A,48,22
202,14,Ravens,Steelers,A,16,14
203,14,Chiefs,Broncos,A,34,28
204,14,Panthers,Seahawks,A,30,24
205,14,49ers,Buccaneers,H,35,7
206,14,Chargers,Dolphins,H,23,17
207,14,Patriots,Cardinals,A,27,13
208,15,49ers,Seahawks,A,21,13
209,15,Vikings,Colts,H,39,36
210,15,Browns,Ravens,H,13,3
211,15,Bills,Dolphins,H,32,29
212,15,Saints,Falcons,H,21,18
213,15,Steelers,Panthers,A,24,16
214,15,Eagles,Bears,A,25,20
215,15,Jaguars,Cowboys,H,40,34
216,15,Lions,Jets,A,20,17
217,15,Chiefs,Texans,A,30,24
218,15,Broncos,Cardinals,H,24,15
219,15,Raiders,Patriots,H,30,24
220,15,Bengals,Buccaneers,A,34,23
221,15,Chargers,Titans,H,17,14
222,15,Giants,Football Team,A,20,12
223,15,Packers,Rams,H,24,12
224,16,Jaguars,Jets,A,19,3
225,16,Ravens,Falcons,H,17,9
226,16,Bills,Bears,A,35,13
227,16,Panthers,Lions,H,37,23
228,16,Bengals,Patriots,A,22,18
229,16,Saints,Browns,A,17,10
230,16,Texans,Titans,A,19,14
231,16,Chiefs,Seahawks,H,24,10
232,16,Vikings,Giants,H,27,24
233,16,49ers,Football Team,H,37,20
234,16,Cowboys,Eagles,H,40,34
235,16,Steelers,Raiders,H,13,10
236,16,Packers,Dolphins,A,26,20
237,16,Rams,Broncos,H,51,14
238,16,Buccaneers,Cardinals,A,19,16
239,16,Chargers,Colts,A,20,3
240,17,Cowboys,Titans,A,27,13
241,17,Falcons,Cardinals,H,20,19
242,17,Buccaneers,Panthers,H,30,24
243,17,Lions,Bears,H,41,10
244,17,Browns,Football Team,A,24,10
245,17,Giants,Colts,H,38,10
246,17,Chiefs,Broncos,H,27,24
247,17,Jaguars,Texans,A,31,3
248,17,Patriots,Dolphins,H,23,21
249,17,Saints,Eagles,A,20,10
250,17,Seahawks,Jets,H,23,6
251,17,49ers,Raiders,A,37,34
252,17,Packers,Vikings,H,41,17
253,17,Chargers,Rams,H,31,10
254,17,Steelers,Ravens,A,16,13
255,18,Chiefs,Raiders,A,31,13
256,18,Jaguars,Titans,H,20,16
257,18,Bills,Patriots,H,35,23
258,18,Bengals,Ravens,H,27,16
259,18,Falcons,Buccaneers,H,30,17
